epoch,loss,lr,val_loss
0,415.1022360314766,0.001,346.45954709816186
1,318.322700765353,0.001,289.2267332476525
2,299.57063999547483,0.001,280.598783859761
3,286.9165881267551,0.001,263.93162805411794
4,270.8097416993221,0.001,258.12780587988175
5,258.22780482512627,0.001,241.23887260592713
6,247.03780888905473,0.001,233.70347305117565
7,239.51157265452386,0.001,219.55791787250982
8,227.92498119719244,0.001,212.99809832219535
9,219.25483322143555,0.001,204.34277832162368
10,212.50347220786642,0.001,193.7418320079111
11,207.41523147376284,0.001,185.54395075387268
12,203.31351769081522,0.001,182.64407391245973
13,196.28305117020054,0.001,177.093351058878
14,189.72537502770098,0.001,172.67472698404248
15,189.83169484925816,0.001,170.85626715671364
16,184.6802424851562,0.001,162.1035261307828
17,181.3364965679482,0.001,174.40711306398845
18,177.73165936514445,0.001,158.4228387129934
19,173.6016850354407,0.001,152.83996259154617
20,169.172748575364,0.001,151.54318896169693
21,166.64318550814016,0.001,158.01604180586966
22,166.71111272735985,0.001,142.02914677834025
23,162.57881387747716,0.001,141.01460669299328
24,160.03449789656108,0.001,143.04096606261749
25,158.42842731265875,0.001,137.9525002583013
26,158.31393311813056,0.001,140.77912019428453
27,157.10678986267556,0.001,136.04682037320737
28,152.19839064414776,0.001,136.3091381658929
29,152.8275971408621,0.001,134.7434655096298
30,151.97726653613447,0.001,136.91355138793028
31,150.47119169372507,0.001,133.58394231908943
32,147.86771972294483,0.001,132.6251702231828
33,149.64673954626952,0.001,131.13907143073487
34,144.69554441808947,0.001,130.8157876380404
35,145.22540681469147,0.001,129.05508655584973
36,144.04811337476661,0.001,128.96913714874955
37,nan,0.001,nan
38,nan,0.001,nan
39,nan,0.001,nan
40,nan,0.001,nan
41,nan,0.001,nan
42,nan,0.00096000003,nan
43,nan,0.00096000003,nan
44,nan,0.00096000003,nan
