epoch,loss,lr,val_loss
0,418.72263198316574,0.001,361.9287176572675
1,320.04819231844533,0.001,305.9511368666504
2,297.446118219596,0.001,297.2624484511887
3,285.20162033358724,0.001,278.8547770892511
4,269.54626046405525,0.001,257.69755413248
5,254.49041935956635,0.001,243.84271409048046
6,245.53799999622888,0.001,232.7079992734784
7,238.5080827381265,0.001,228.03063340397065
8,230.73462417092406,0.001,214.56544184864015
9,225.5292727243986,0.001,210.3535197879779
10,216.36907102090044,0.001,198.84637887137276
11,209.07038340203297,0.001,195.5999442816549
12,207.0772436741697,0.001,187.7884673744472
13,200.40480392139642,0.001,188.1280391377614
14,195.15824291860457,0.001,187.2042153068567
15,189.89292081493065,0.001,173.69649095873316
16,185.86283696610897,0.001,172.14775306709856
17,181.4407518429621,0.001,167.2953280357746
18,178.739128716558,0.001,161.4776257720849
19,176.46987173086094,0.001,163.14216080285553
20,173.05763513255917,0.001,153.19516824626
21,169.85067841041104,0.001,153.11352378443667
22,165.9041035216691,0.001,148.98048161589625
23,164.46057020422265,0.001,147.2709541361775
24,162.56452656155463,0.001,146.23195340067437
25,161.70958123709556,0.001,144.10230184651343
26,157.96485423678521,0.001,144.77126041826193
27,156.57329487003514,0.001,139.35892153861826
28,155.5186719954947,0.001,141.61635115937952
29,154.4193713768932,0.001,146.98847248474843
30,157.1662884428498,0.001,141.68312667699172
31,149.72140357638636,0.001,139.4274936680123
32,150.02966588198305,0.001,137.1584806186172
33,149.59556738118525,0.001,135.69059292868053
34,145.1309349941491,0.001,137.41869188712312
35,147.9618421337436,0.001,139.09674388586387
36,144.11133877967708,0.001,136.08044296739948
37,145.41910064154845,0.001,132.3743673994513
38,143.4195230962662,0.001,135.18642659090003
39,143.34294585277607,0.001,132.45748281017921
40,143.17698511227783,0.001,131.10039200664974
41,141.76224824870687,0.001,134.62024812462764
42,140.84085909229591,0.001,130.8584392805745
43,142.42805692436227,0.001,130.62585727843256
44,138.75626092717852,0.001,129.08263518500405
45,139.16729702749748,0.001,127.72424522096694
46,138.11522991295038,0.001,131.06797349645038
47,139.11340065341454,0.001,126.22875633198773
48,136.90606334942962,0.001,126.09294227575514
49,134.42524124836447,0.001,124.2860111273449
50,132.97154591964355,0.001,127.1740787149628
51,133.63519967717232,0.001,124.93516822429784
52,133.1170840107986,0.001,123.62972514380958
53,131.39103649008644,0.001,123.91052439491936
54,132.51244424310622,0.001,124.98732856725904
55,132.39179817035043,0.001,124.63029013694165
56,130.78152829693678,0.001,126.89428519997766
57,129.07773390554846,0.001,121.43730651167103
58,130.70098219591836,0.001,123.00390239023112
59,126.86940614601035,0.001,120.57775616671422
60,127.15186952969506,0.001,123.59302952619936
61,127.6077550370664,0.001,120.14321674056006
62,127.8560966139772,0.001,121.10961467443808
63,127.14399135813994,0.001,120.45378768380039
64,125.70405923437376,0.001,118.91208220091593
65,126.35582683109601,0.001,118.66076767508633
66,126.66878566992168,0.001,119.42523830098317
67,125.62928415040975,0.001,126.3681187122644
