epoch,loss,lr,val_loss
0,410.85947381055183,0.001,306.62748423247535
1,313.28195871815205,0.001,271.38256029565406
2,298.9041747274767,0.001,264.3606155674132
3,287.70299181132884,0.001,251.1610130695216
4,271.97644432239986,0.001,237.4407616931821
5,263.09569820924423,0.001,224.19778940628987
6,250.93497817867697,0.001,215.25703207276177
7,239.26925219721414,0.001,204.4273255672926
8,230.2022415634049,0.001,199.19137756806566
9,216.03173344592216,0.001,186.69518749593536
10,209.99162589098717,0.001,176.80097737706694
11,203.57006991324283,0.001,171.3917485942902
12,198.41801685234324,0.001,163.86943021419864
13,187.99347325002697,0.001,160.36141224501597
14,184.65814942487202,0.001,159.62000054217052
15,180.22452105546887,0.001,155.90649364073985
16,177.7517073854675,0.001,147.94033500433736
17,167.82956963703398,0.001,145.0011839328852
18,165.2611841036503,0.001,137.09816279754475
19,160.49215643229476,0.001,136.24970857515754
20,158.4812606499463,0.001,135.52856192911477
21,158.33114534265854,0.001,140.8695199476789
22,157.13253424184222,0.001,129.7780893655648
23,153.43739488389758,0.001,126.52787125994132
24,149.71781041665895,0.001,128.0130221718236
25,150.24672574954724,0.001,124.20912499023176
26,147.98830703519803,0.001,124.3884333068651
27,145.53751551036765,0.001,125.03564076162435
28,143.89915852684425,0.001,122.44492535125045
29,142.19188972809334,0.001,119.67527895557637
30,140.66619179436307,0.001,119.91329046427627
31,145.89438895849446,0.001,117.4942976708827
32,140.03084999806717,0.001,117.02371149442122
33,139.67683153435974,0.001,114.81295505118037
34,137.54244382899697,0.001,113.72581654844683
35,136.38761028086313,0.001,111.33451848178622
36,138.55159633571327,0.001,112.91781823540349
37,136.72218086778327,0.001,113.50619978039144
38,136.61225886287605,0.001,109.37395554326403
39,134.17743662754341,0.001,115.04155287860415
40,136.77016039596387,0.001,111.05965600592494
41,133.21142492067102,0.001,113.96514322217374
42,132.85797952856666,0.001,111.62985679388815
43,130.39003818647885,0.001,109.28356454195705
44,131.895819789268,0.001,110.6539468488683
45,130.62569707218614,0.001,108.90667741818535
46,131.83787740908065,0.001,111.63028998123973
47,126.2013814927354,0.001,109.41664287431924
48,125.8852776694896,0.001,109.5781998598486
49,129.60563837092008,0.001,108.84098129190512
50,129.09511542516296,0.001,109.35045545928332
51,126.73253342533775,0.001,109.66811506883927
52,126.02363671035975,0.001,109.10522849372839
53,126.21313156781005,0.001,108.40554488332648
54,124.1846358741408,0.001,105.81668831633702
