epoch,loss,lr,val_loss
0,419.353765579706,0.001,336.6143516597891
1,320.38388937443943,0.001,290.75096489305014
2,300.9714726719404,0.001,284.9420457096284
3,291.5375549329101,0.001,271.9970728692896
4,278.37211112531764,0.001,259.70537785940854
5,264.52026518886777,0.001,246.32059600862857
6,256.8091552277373,0.001,238.1404554651836
7,245.63529482697092,0.001,227.81386460448695
8,240.92810726959178,0.001,221.74727528179756
9,230.7642624993094,0.001,209.8390657648236
10,220.3629685812901,0.001,201.87586911177917
11,217.0584502005934,0.001,196.19338481177832
12,212.10631469561534,0.001,188.60411824063507
13,206.0635851576007,0.001,186.99782073024008
14,199.78627655549772,0.001,181.63431299129695
15,196.63725682542645,0.001,174.25602158363088
16,194.0500556418979,0.001,176.50306491872294
17,189.69954400213308,0.001,169.33488405352634
18,184.76964019102581,0.001,164.35298853299543
19,179.89016163170635,0.001,164.1953287913387
20,179.35258249673194,0.001,161.2423029980521
21,173.18204488135416,0.001,154.86636532825506
22,176.76792259343253,0.001,155.05871655784796
23,172.83760395779981,0.001,152.99451707948546
24,167.03142141066058,0.001,154.64480484287412
25,165.38334497080467,0.001,150.08230702270114
26,162.64091426957268,0.001,151.14441819400972
27,161.44583034991425,0.001,148.050138168253
28,160.9847672854406,0.001,145.91411942134738
29,158.8869981622934,0.001,146.38555070690643
30,156.35613344671722,0.001,147.0487726295545
31,156.45572114268475,0.001,145.03910988255552
32,152.03777022845733,0.001,145.50429450505274
33,152.59358653292284,0.001,143.4651380266462
34,152.34424114068614,0.001,140.01933029617325
35,150.41487128564006,0.001,138.94632887302484
36,148.84551890241525,0.001,140.30757116528767
37,149.0776808353113,0.001,138.414701828511
38,146.27487453644764,0.001,139.57299040928564
39,145.26455738937202,0.001,135.54210342423616
40,142.02459377853722,0.001,139.06715207863058
41,144.0245723311794,0.001,136.22759313204364
42,142.66340823816182,0.001,138.06123597895933
43,144.4963392743255,0.001,133.65787634762478
44,140.24631089894427,0.001,132.89972458131587
45,140.73071654981464,0.001,132.13151129078275
46,139.77012462266867,0.001,132.1315974349238
47,140.64483444543924,0.001,129.81282348305018
48,138.08678846311648,0.001,128.9075906591692
49,136.69348198165514,0.001,129.90619045630433
50,136.61244514896944,0.001,129.55218795956654
51,135.8062570575073,0.001,126.84745382110235
52,135.67218835421292,0.001,127.89612317930359
53,132.9782022358772,0.001,125.86025504369357
54,133.78335411973086,0.001,127.57293442214983
55,130.44475986715562,0.001,126.90439988411843
56,131.73936594901187,0.001,124.83778001107156
57,131.0603168792217,0.001,122.33205221239658
58,131.509154042071,0.001,123.30611079591942
59,128.8292655659198,0.001,123.80478059336399
60,129.7588114460772,0.001,122.35704242120367
61,127.667816368395,0.001,122.00216401097086
62,132.96096068650434,0.001,122.2436751254007
63,128.0779109929445,0.001,123.16018912769158
64,126.93062668989185,0.001,120.54970956181609
65,127.4414631308811,0.001,118.95793422285135
66,126.81618911375024,0.001,116.7471564894204
67,125.96543757649705,0.001,120.54160276878021
68,125.2634715970463,0.001,119.80338284895065
69,124.53122644535516,0.001,123.14969342454036
70,124.35983165925037,0.001,119.51782401932041
71,123.33175890854314,0.00095,119.1925222230905
72,121.72358865785519,0.00095,118.90886487458882
73,122.00451971806227,0.00095,117.49824671432872
74,122.70604310694233,0.0009025,116.74493440982478
75,122.37264103818059,0.0009025,117.99612679158835
76,121.9111188548972,0.0009025,120.233594408865
77,121.10983882846928,0.0009025,117.2753028910603
78,119.39803964802113,0.0009025,118.49387329298239
79,120.33827868951934,0.000857375,116.69107439182498
80,119.18029900358837,0.000857375,117.49418130417772
81,118.6926320658349,0.000857375,119.00812452666614
82,118.92558686546795,0.000857375,114.52817332987883
83,117.12956678609483,0.000857375,113.76488053171258
84,120.81675270829543,0.000857375,114.13021729302329
85,118.05050812783138,0.000857375,116.65072031973769
86,118.45275048368585,0.000857375,114.50497659423041
87,114.41446895408947,0.000857375,117.5054922462406
88,115.56121258886404,0.0008145062,113.52935033812558
89,118.6540175261791,0.0008145062,113.9341195472201
90,114.32990287425315,0.0008145062,111.27943866209364
91,117.01820276104868,0.0008145062,114.51378974955524
92,116.34809930233313,0.0008145062,113.49661471226545
93,115.97696436185409,0.0008145062,114.18812103763175
94,115.28843584869944,0.0008145062,117.25738935132544
95,114.80478999856705,0.00077378086,115.95778373283936
96,116.18709936792561,0.00077378086,114.88980754848197
97,117.15194995232707,0.00077378086,113.63326895249773
98,114.53681286321503,0.0007350918,111.5493424330567
99,112.75971076413121,0.0007350918,114.90792622141116
100,115.7229185977117,0.0007350918,112.7373563149818
101,116.80496106647612,0.0006983372,112.35693610137055
102,114.16843353055678,0.0006983372,113.69992866884881
103,114.67083722462075,0.0006983372,110.18168777810004
104,111.80491733074982,0.0006983372,111.14223690831956
105,112.54262281852634,0.0006983372,112.83535455197705
106,114.10732848473674,0.0006983372,114.22955504191037
107,111.10871707262493,0.0006983372,110.8583512516206
108,113.53818652554479,0.00066342036,112.10341433679763
109,112.29664873957832,0.00066342036,111.90070153716812
110,110.46257895280834,0.00066342036,112.69566909019724
111,111.86092371948547,0.0006302493,112.25388291110029
112,111.88988575324441,0.0006302493,110.82140996914545
113,111.9639322515732,0.0006302493,111.68826502094207
114,108.60627079962097,0.00059873686,110.38466150138355
115,112.0319112676154,0.00059873686,111.31187625807159
116,110.6763817442832,0.00059873686,110.31195804255862
117,111.1520017347796,0.0005688,109.22696604662116
118,110.11651044677379,0.0005688,111.30749123283411
119,110.6742330732044,0.0005688,111.07039264551935
120,111.101928495131,0.0005688,111.0929476269846
121,110.57059384661784,0.0005688,109.36264819873519
122,110.67682944756379,0.00054036,111.4504883271411
123,108.48427557350196,0.00054036,113.15902006843804
124,107.42647657695903,0.00054036,110.99547787511644
125,108.9808254448229,0.000513342,111.02433114712528
126,109.81355321823857,0.000513342,111.69442409757129
127,109.46651235158352,0.000513342,110.1065161159036
128,107.49772917450764,0.00048767487,111.84757487525489
129,109.24022875768372,0.00048767487,110.00899835867222
130,109.17498383545836,0.00048767487,111.2155694029385
131,109.00964560484925,0.00046329113,111.27882670434282
132,107.54428171516456,0.00046329113,108.90363312587061
133,107.74954120331319,0.00046329113,109.45036783023757
134,109.61765043350702,0.00046329113,108.263200376779
135,109.09250073901032,0.00046329113,109.5111049402157
136,106.99031821899922,0.00046329113,109.69434083801335
137,108.55246725732991,0.00046329113,110.71251415412485
138,107.65061780418611,0.00046329113,109.94505816499606
139,107.728486265795,0.00044012658,109.35688876798406
140,108.84041148771264,0.00044012658,109.53222807035026
141,108.65181977022904,0.00044012658,111.53178079607152
142,107.98274725407808,0.00041812024,110.58951185904563
143,106.88909321021717,0.00041812024,109.72569440438079
144,106.66977734335647,0.00041812024,112.02120873341627
145,106.69124617552797,0.00039721423,110.28906874446685
146,106.5550701296865,0.00039721423,111.64401535214466
147,106.15630012899389,0.00039721423,108.89495503787195
148,108.51287376702129,0.0003773535,108.77057165029098
149,106.0831559557288,0.0003773535,110.04695583388578
150,105.94002096744227,0.0003773535,108.72120576360685
151,106.50252543273265,0.00035848585,108.11055043483779
152,105.39659921896835,0.00035848585,109.60534205779865
153,106.54698479631776,0.00035848585,109.88782524985734
154,104.42138174567961,0.00035848585,111.303284363383
155,105.20490101133528,0.00035848585,109.87971535917255
156,105.14508376700708,0.00034056156,109.1102728592722
157,105.62550803071845,0.00034056156,110.10277486077953
158,105.03264069358838,0.00034056156,110.3181629119447
159,105.39772754421647,0.0003235335,112.04741776053555
160,104.27968099629027,0.0003235335,110.057041745949
161,104.4690610438139,0.0003235335,109.99139684560348
162,106.32738194330759,0.00030735682,109.61252658733363
163,104.34553408345049,0.00030735682,108.86226474585774
164,104.3484766749098,0.00030735682,110.47501503588946
165,104.54264471177848,0.00029198898,111.06325084387167
166,103.25300820615645,0.00029198898,108.45006712883807
167,104.3819188024359,0.00029198898,110.20060087505139
168,104.22628072176916,0.00027738954,109.17344226284007
169,104.00199765413255,0.00027738954,110.41884079553131
170,103.95112200624335,0.00027738954,108.28060642656271
171,105.27818991459547,0.00026352005,110.43294640693705
172,104.89849895090113,0.00026352005,109.39035542259667
173,105.06502345715109,0.00026352005,109.63964134076997
174,104.54025282677318,0.00025034405,109.69290823275753
175,104.90663832158296,0.00025034405,108.71290214694277
176,104.17362206311472,0.00025034405,109.68793039291168
177,104.15031083848037,0.00023782684,109.2728718594757
178,105.06397213674028,0.00023782684,110.10953186559625
179,103.07192177701116,0.00023782684,108.20712960445023
180,104.19530671924204,0.0002259355,109.44454998667847
181,103.94251693941392,0.0002259355,109.63926796754372
182,101.84121271219111,0.0002259355,109.64892896084729
