epoch,loss,lr,val_loss
0,350.11836405470655,0.001,287.93475879378275
1,294.96937829775896,0.001,271.86917864905007
2,271.55078196061254,0.001,250.68941996868392
3,249.53129430992132,0.001,230.78197750497196
4,235.38398525615955,0.001,214.71187056429787
5,217.36464665321654,0.001,197.74913682128383
6,200.20658533094698,0.001,169.32930228687127
7,185.425199054844,0.001,169.81742268858355
8,187.85074885511278,0.001,160.28248173337747
9,173.96464212338466,0.001,145.4244789590641
10,166.38350598676845,0.001,141.84309767447533
11,160.2259740999046,0.001,145.17046903616375
12,155.24907980522394,0.001,135.36756629820925
13,150.702094279135,0.001,134.48192787375282
14,150.3322600284741,0.001,129.49717621439638
15,148.09333144275945,0.001,135.34678140183397
16,143.67966062269608,0.001,129.22123669092687
17,139.7064096642994,0.001,123.84986080903116
18,140.1641070360253,0.001,121.90854182586506
19,140.33723792093068,0.001,121.92987300655639
20,138.8182178177539,0.001,122.78689501441767
21,134.89179668378063,0.001,119.37847161216203
22,134.8585498334996,0.001,124.35368030847208
23,136.55957893675208,0.001,120.13824178529734
24,134.12636396907124,0.001,119.48361530570287
25,133.1111460951402,0.001,124.4939012455761
26,130.3310541997614,0.001,114.17673424414482
27,130.11563299955907,0.001,116.33068519862715
28,130.17616137925293,0.001,113.99768936698086
29,132.42586880715393,0.001,118.22853724298365
30,131.55615036695514,0.001,112.65061337709683
31,126.13953108953078,0.001,114.9006890236499
32,126.59480980752788,0.001,118.47755796799214
33,128.75767823945256,0.001,119.22947294601948
34,125.70812458874914,0.001,111.50338627111515
35,128.51093900133048,0.001,116.27484417678718
36,126.2413297131544,0.001,115.62779399736611
37,127.7824109632216,0.001,114.06114608158231
38,124.27388029235789,0.001,115.76201581289125
39,121.47103709350895,0.001,110.24598072678907
40,122.62221997718908,0.001,111.85819333708504
41,124.3701391971081,0.001,110.1632764429078
42,120.78657357315205,0.001,110.4585081565521
43,120.92256186838175,0.001,111.25281105901962
44,119.5177171854121,0.001,108.78464261392006
45,122.86886870265512,0.001,109.98077198360455
46,119.25067549212115,0.001,113.12454636652667
47,121.29855682444108,0.001,112.57120470483372
48,121.83013445719332,0.001,108.28988974434989
49,119.10654945599639,0.001,109.50922058629938
50,118.96370072005463,0.001,109.54946421654985
51,117.50579209775869,0.001,108.02249698659404
52,117.89385498589525,0.001,109.67760842033411
53,117.28240965504853,0.001,111.89274656990288
54,117.26547320670339,0.001,109.63589134994818
55,114.4190234088171,0.001,112.31658760177334
56,117.45631803404366,0.001,109.9178461879972
57,114.70184407246305,0.00090000004,111.14802606174949
58,116.52817268597686,0.00090000004,110.92245523553146
59,114.22917585510203,0.00090000004,109.0032244558365
60,117.12098227104426,0.00090000004,108.74206023415996
61,113.91159347676302,0.00081000006,106.52142022580517
62,114.85568868457817,0.00081000006,106.40342431319387
63,113.21303030235298,0.00081000006,105.69712410833603
64,110.69968857793461,0.00081000006,106.76413507184972
65,111.8877196025283,0.00081000006,104.83138557048925
66,110.44136826937527,0.00081000006,107.64502015405772
67,113.6916244678029,0.00081000006,111.05941680678748
68,111.60541910725463,0.00081000006,106.29096459574141
69,111.55246988501618,0.00081000006,106.12444662714876
70,112.4150820384078,0.00081000006,106.86856868264499
71,109.60352243719012,0.0007290001,105.75009665811868
72,109.98627326086756,0.0007290001,106.31518644830722
73,110.3059886250831,0.0007290001,106.2661535506858
74,108.87703846148976,0.0007290001,106.38196139228076
75,110.44375296067021,0.00065610005,105.27344434269004
76,108.33507911236381,0.00065610005,106.69347974078612
77,107.51306441918356,0.00065610005,109.37300875261185
78,110.61982673593339,0.00065610005,105.74835282109606
79,109.45056508296027,0.00059049006,105.13889384858719
80,109.41072925564397,0.00059049006,105.83898699603711
81,107.74755242111115,0.00059049006,104.39030983471076
82,109.97802884734152,0.00059049006,106.34310318960155
83,107.68992284149765,0.00059049006,106.33277254688497
84,108.41725413219895,0.00059049006,106.84600375264596
85,107.46066919854897,0.00059049006,105.12423919120485
86,107.57147932092988,0.00059049006,105.07662763093647
87,106.78294615135871,0.00053144107,105.89794006511553
88,105.48363868267631,0.00053144107,104.20572751677254
89,106.15777097406476,0.00053144107,103.60811696938619
90,107.24088907524451,0.00053144107,105.61851385917623
91,105.60586866658184,0.00053144107,104.45146713502682
92,105.24280666315788,0.00053144107,104.32995944735059
93,105.24918568326092,0.00053144107,110.72545537733494
94,106.31067776013793,0.00053144107,104.56157903128357
95,103.22547379476755,0.00047829695,104.38455851684964
96,105.8529588423171,0.00047829695,105.25030982225461
97,106.25954752186412,0.00047829695,107.7360175160409
98,106.78870990052252,0.00047829695,104.5054651295204
99,104.37946926184775,0.00043046725,103.17685093044851
